Date,Open,High,Low,Close,Adj Close,Volume
1967-04-03,0.850110,0.853866,0.838842,0.843850,0.161448,2715600
1967-04-04,0.843850,0.850110,0.838842,0.850110,0.162646,3095000
1967-04-05,0.850110,0.865134,0.850110,0.860126,0.164562,3005100
1967-04-06,0.861378,0.873898,0.861378,0.863882,0.165281,3614200
1967-04-07,0.863882,0.870142,0.856370,0.860126,0.164562,2176500
1967-04-10,0.855118,0.855118,0.845102,0.846354,0.161927,3065000
1967-04-11,0.847606,0.863882,0.847606,0.856370,0.163844,2525900
1967-04-12,0.856370,0.857622,0.846354,0.851362,0.162885,2436000
1967-04-13,0.851362,0.882662,0.848858,0.873898,0.167197,5341400
1967-04-14,0.873898,0.905198,0.872646,0.903946,0.172946,5880500
1967-04-17,0.903946,0.931490,0.897686,0.921474,0.176300,4003500
1967-04-18,0.921474,0.928986,0.915214,0.923978,0.176779,5101800
1967-04-19,0.923978,0.927734,0.912710,0.915214,0.175102,2565800
1967-04-20,0.917718,0.933994,0.917718,0.931490,0.178216,4103400
1967-04-21,0.931490,0.950270,0.931490,0.950270,0.181809,4712400
1967-04-24,0.950270,0.951522,0.944010,0.950270,0.181809,4243200
1967-04-25,0.941506,0.941506,0.928986,0.939002,0.179653,2845400
1967-04-26,0.939002,0.941506,0.932742,0.940254,0.179893,4392900
1967-04-27,0.940254,0.945262,0.937750,0.945262,0.180851,1687200
1967-04-28,0.947766,0.951522,0.947766,0.950270,0.181809,3134900
1967-05-01,0.950270,0.951522,0.942758,0.946514,0.181090,2206400
1967-05-02,0.944010,0.944010,0.930238,0.931490,0.178216,3035100
1967-05-03,0.931490,0.933994,0.923978,0.931490,0.178216,2246400
1967-05-04,0.928986,0.928986,0.916466,0.923978,0.176779,2785500
1967-05-05,0.923978,0.931490,0.917718,0.926482,0.177258,2635700
1967-05-08,0.926482,0.927734,0.917718,0.920222,0.176060,1597400
1967-05-09,0.920222,0.933994,0.912710,0.912710,0.174623,3284700
1967-05-10,0.912710,0.921474,0.903946,0.912710,0.174623,2985200
1967-05-11,0.915214,0.930238,0.915214,0.930238,0.177977,1777100
1967-05-12,0.927734,0.927734,0.912710,0.912710,0.174623,3993600
1967-05-15,0.912710,0.915214,0.896434,0.897686,0.171748,4662500
1967-05-16,0.897686,0.903946,0.896434,0.901442,0.172467,1697200
1967-05-17,0.901442,0.905198,0.891426,0.892678,0.170790,2605800
1967-05-18,0.892678,0.900190,0.887670,0.896434,0.171509,1847000
